Country;ITU_code;ECC;CountryID/EBU;ECC + EBU
Seychelles;SEY;D3;8;D38
Sierra_Leone;SRL;D2;1;D21
Singapore;SNG;F2;A;F2A
Slovak_Republic;slr;E2;5;E25
Slovenia;SVN;E4;9;E49
Solomon_Islands;SLM;F1;A;F1A
Somalia;SOM;D2;7;D27
South_Africa;AFS;D0;A;D0A
Spain;E;E2;E;E2E
Sri_Lanka;CLN;F1;C;F1C
St.Kitts;SCN;A4;A;A4A
St.Lucia;LCA;A4;B;A4B
St.Pierre_and_Michelon;SPM;A6;F;A6F
St.Vincent;VCT;A5;C;A5C
Sudan;SDN;D3;C;D3C
Surinam;SUR;A4;8;A48
Swaziland;SWZ;D2;5;D25
Sweden;S;E3;E;E3E
Switzerland;SUI;E1;4;E14
Syria;SYR;E2;6;E26
Taiwan;twn;F1;D;F1D
Tajikistan;TJK;E3;5;E35
Tanzania;TZA;D1;D;D1D
Thailand;THA;F3;2;F32
Togo;TGO;D0;D;D0D
Tonga;TON;F3;3;F33
Trinidad_and_Tobago;TRD;A4;6;A46
Tunisia;TUN;E2;7;E27
Turkey;TUR;E3;3;E33
Turkmenistan;TKM;E4;E;E4E
Turks_and_Caicos_islands;TCA;A3;E;A3E
Uganda;UGA;D2;4;D24
Ukraine;UKR;E4;6;E46
United_Arab_Emirates;UAE;F2;D;F2D
United_Kingdom;G;E1;C;E1C
United_States_of_America;USA;A0;1to9,A,B,D,E;A01to9,A,B,D,E
Uruguay;URG;A4;9;A49
Uzbekistan;UZB;E4;B;E4B
Vanuatu;VUT;F2;F;F2F
Vatican;CVA;E2;4;E24
Venezuela;VEN;A4;E;A4E
Vietnam;VTN;F2;7;F27
Virgin_islands_(British);VRG;A5;F;A5F
Virgin_islands_(USA);VIR;A5;F;A5F
Western_Sahara;AOE;D3;3;D33
Western_Samoa;SMO;F2;4;F24
Yemen;YEM;F3;B;F3B
Zaire;ZAI;D2;B;D2B
Zambia;ZMB;D2;E;D2E
Zanzibar;ZAN;D2;D;D2D
Zimbabwe;ZWE;D2;2;D22
